Отчетный год,"Численность практикующих врачей, тыс. человек",Ежегодное издание Белстата
2018,"38,6","[Справочник «Беларусь в цифрах 2019»](https://www.belstat.gov.by/upload/iblock/cf4/cf4915a5e6ade269f20c0bf5a332a7a3.pdf#page=21)"
2018,"42,5","[Справочник «Беларусь в цифрах 2020»](https://www.belstat.gov.by/upload/iblock/372/372c458c7e0e0196257ac51b11a0cf73.pdf#page=20)"
2019,"38,8","[Справочник «Беларусь в цифрах 2020»](https://www.belstat.gov.by/upload/iblock/372/372c458c7e0e0196257ac51b11a0cf73.pdf#page=20)"
2019,"42,9","[Справочник «Беларусь в цифрах 2021»](https://www.belstat.gov.by/upload/iblock/3ea/3ea6979cf337350c836d0392847ccd3c.pdf#page=19)"
2020,"38,8","[Сборник «Статистический ежегодник Республики Беларусь 2021»](https://www.belstat.gov.by/upload/iblock/d8c/yr1d8w95a75bhnumml7vbg6jqxyih369.pdf#page=108)"
2020,"43,059","[Справочник «Беларусь в цифрах 2022»](https://www.belstat.gov.by/upload/iblock/4a6/17lzwjez5wrikz92fyx8f2w0qlhm97me.pdf#page=19)"
2021,"41,7","[Справочник «Беларусь в цифрах 2022»](https://www.belstat.gov.by/upload/iblock/4a6/17lzwjez5wrikz92fyx8f2w0qlhm97me.pdf#page=19)"
2021,"48,1",[Сборник «Статистический ежегодник Республики Беларусь 2022»](https://www.belstat.gov.by/upload/iblock/da7/2ofs6kwxniibet4h4icu0kdlturoipo8.pdf#page=108)
2021,"48,1",[Справочник «Беларусь в цифрах 2023»](https://www.belstat.gov.by/ofitsialnaya-statistika/publications/izdania/public_compilation/index_69861/)
2022,"48,0",[Справочник «Беларусь в цифрах 2023»](https://www.belstat.gov.by/ofitsialnaya-statistika/publications/izdania/public_compilation/index_69861/)
